no,category,name,description,idea,url,docsUrl,auth,status,httpStatus,elapsedMs,contentType,classification,classification_confidence,classification_reason,idea_engine_eligible,error,checkedAt
1,우주·천문·전파,Breakthrough Listen Open Data,,,https://breakthroughinitiatives.org/opendatasearch,https://breakthroughinitiatives.org/opendatasearch,none,LIVE,200.0,1281,text/html; charset=UTF-8,API_PORTAL,0.92,HTTP 200이지만 API 문서/포털/데이터 진입점 HTML을 반환함,False,,2026-08-24T06:50:03.236Z
2,우주·천문·전파,NRAO Archive TAP,,,https://data.nrao.edu/,https://science.nrao.edu/facilities/vla/archive,none,LIVE,200.0,1856,text/html; charset=UTF-8,API_PORTAL,0.99,NRAO Archive Interface HTML; 실제 API 호출 endpoint가 아니라 포털 화면,False,,2026-08-24T06:50:03.973Z
3,우주·천문·전파,NASA APOD,,,https://api.nasa.gov/planetary/apod?api_key=DEMO_KEY,https://api.nasa.gov/,api_key,LIVE,200.0,2868,application/json,REAL_API,0.96,구조화된 실제 API 응답(JSON/XML/Atom/RSS/이미지 등) 확인,True,,2026-08-24T06:50:04.988Z
4,우주·천문·전파,NASA NeoWs,,,https://api.nasa.gov/neo/rest/v1/feed/today?api_key=DEMO_KEY,https://api.nasa.gov/,api_key,LIVE,200.0,934,application/json,REAL_API,0.96,구조화된 실제 API 응답(JSON/XML/Atom/RSS/이미지 등) 확인,True,,2026-08-24T06:50:03.056Z
5,우주·천문·전파,NASA Mars Rover,,,https://api.nasa.gov/mars-photos/api/v1/rovers/curiosity/photos?sol=1000&api_key=DEMO_KEY,https://api.nasa.gov/,api_key,NOT_FOUND,404.0,1216,text/html; charset=utf-8,DEAD,0.99,404/410 또는 명백한 엔드포인트 없음,False,,2026-08-24T06:50:03.339Z
6,우주·천문·전파,NASA Horizons,,,https://ssd.jpl.nasa.gov/api/horizons.api,https://ssd.jpl.nasa.gov/horizons/,none,LIVE,200.0,555,application/json,NEEDS_REVIEW,0.93,구조화 응답이지만 테스트 요청 오류로 실제 데이터 검증이 불완전함,False,,2026-08-24T06:50:02.683Z
7,우주·천문·전파,NASA Images API,,,https://images-api.nasa.gov/search?q=apollo,https://images.nasa.gov/docs/images.nasa.gov_api_docs.pdf,none,LIVE,200.0,2166,application/json,REAL_API,0.96,구조화된 실제 API 응답(JSON/XML/Atom/RSS/이미지 등) 확인,True,,2026-08-24T06:50:04.295Z
8,우주·천문·전파,NASA Exoplanet Archive,,,https://exoplanetarchive.ipac.caltech.edu/TAP/sync?query=select+top+10+*+from+ps&format=json,https://exoplanetarchive.ipac.caltech.edu/docs/program_interfaces.html,none,LIVE,200.0,2409,application/json,REAL_API,0.96,구조화된 실제 API 응답(JSON/XML/Atom/RSS/이미지 등) 확인,True,,2026-08-24T06:50:04.540Z
9,우주·천문·전파,NASA DONKI,,,https://api.nasa.gov/DONKI/FLR?startDate=2026-08-23&endDate=2026-08-24&api_key=DEMO_KEY,https://api.nasa.gov/,api_key,LIVE,200.0,936,application/json,REAL_API,0.96,구조화된 실제 API 응답(JSON/XML/Atom/RSS/이미지 등) 확인,True,,2026-08-24T06:50:03.619Z
10,우주·천문·전파,NASA EONET,,,https://eonet.gsfc.nasa.gov/api/v3/events,https://eonet.gsfc.nasa.gov/docs/v3,none,LIVE,200.0,5423,application/rss+xml; charset=utf-8,REAL_API,0.96,구조화된 실제 API 응답(JSON/XML/Atom/RSS/이미지 등) 확인,True,,2026-08-24T06:50:08.540Z
